123456789012,15/01/1990,70.5,175.2
234567890123,22/03/1985,65.3,162.1
345678901234,10/06/1992,78.9,180.5
456789012345,05/11/1988,58.2,158.9
567890123456,18/07/1991,82.4,177.3
678901234567,25/02/1989,61.8,165.0
789012345678,12/09/1990,75.6,172.8
890123456789,08/12/1987,68.9,168.4
901234567890,30/04/1992,71.2,174.1
012345678901,14/08/1991,63.5,160.7
112233445566,20/01/1990,80.3,182.6
223344556677,16/03/1988,59.7,157.2
334455667788,11/07/1991,73.8,176.9
445566778899,28/10/1989,67.4,169.5
556677889900,05/05/1992,77.1,179.3
667788990011,19/06/1989,62.6,163.8
778899001122,07/11/1990,85.2,185.7
889900112233,25/01/1991,64.9,161.4
990011223344,13/02/1991,72.7,173.2
001122334455,09/04/1988,69.8,170.6
123456789008,02/08/1995,74.3,178.1
